"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2005","2005","EUR","Euro","0","Units",,,443000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2006","2006","EUR","Euro","0","Units",,,495000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2007","2007","EUR","Euro","0","Units",,,486000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2008","2008","EUR","Euro","0","Units",,,467000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2009","2009","EUR","Euro","0","Units",,,516000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2010","2010","EUR","Euro","0","Units",,,559000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2011","2011","EUR","Euro","0","Units",,,494000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2012","2012","EUR","Euro","0","Units",,,517000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2013","2013","EUR","Euro","0","Units",,,559000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2014","2014","EUR","Euro","0","Units",,,667000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2015","2015","EUR","Euro","0","Units",,,692000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2016","2016","EUR","Euro","0","Units",,,697000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2017","2017","EUR","Euro","0","Units",,,687000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2018","2018","EUR","Euro","0","Units",,,726000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2019","2019","EUR","Euro","0","Units",,,752000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2020","2020","EUR","Euro","0","Units",,,791000000,,
"AUT","Austria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2021","2021","EUR","Euro","0","Units",,,899000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1995","1995","AZN","Azerbaijanian Manat","0","Units",,,5000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1996","1996","AZN","Azerbaijanian Manat","0","Units",,,16000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1997","1997","AZN","Azerbaijanian Manat","0","Units",,,12000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2001","2001","AZN","Azerbaijanian Manat","0","Units",,,13000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2002","2002","AZN","Azerbaijanian Manat","0","Units",,,14000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2003","2003","AZN","Azerbaijanian Manat","0","Units",,,19000000,,
