"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","1997","1997","PKM","Passenger-kilometres","6","Millions",,,3739,,
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","1998","1998","PKM","Passenger-kilometres","6","Millions",,,3854,,
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","1999","1999","PKM","Passenger-kilometres","6","Millions",,,4115,,
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2000","2000","PKM","Passenger-kilometres","6","Millions",,,4250,,
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2001","2001","PKM","Passenger-kilometres","6","Millions",,,4458,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2002","2002","PKM","Passenger-kilometres","6","Millions",,,4583,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2003","2003","PKM","Passenger-kilometres","6","Millions",,,4711,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2004","2004","PKM","Passenger-kilometres","6","Millions",,,4855,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2005","2005","PKM","Passenger-kilometres","6","Millions",,,5145,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2006","2006","PKM","Passenger-kilometres","6","Millions",,,5455,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2007","2007","PKM","Passenger-kilometres","6","Millions",,,5730,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2008","2008","PKM","Passenger-kilometres","6","Millions",,,5587,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2009","2009","PKM","Passenger-kilometres","6","Millions",,,5647,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2010","2010","PKM","Passenger-kilometres","6","Millions",,,5596,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2011","2011","PKM","Passenger-kilometres","6","Millions",,,5392,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2012","2012","PKM","Passenger-kilometres","6","Millions",,,5454,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2013","2013","PKM","Passenger-kilometres","6","Millions",,,5611,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2014","2014","PKM","Passenger-kilometres","6","Millions",,,5899,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2015","2015","PKM","Passenger-kilometres","6","Millions",,,6296,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2016","2016","PKM","Passenger-kilometres","6","Millions",,,7301,,
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2017","2017","PKM","Passenger-kilometres","6","Millions",,,7984,,
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2018","2018","PKM","Passenger-kilometres","6","Millions",,,8235,,
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2019","2019","PKM","Passenger-kilometres","6","Millions",,,8167,,
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2020","2020","PKM","Passenger-kilometres","6","Millions",,,6316,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","1998","1998","PKM","Passenger-kilometres","6","Millions",,,78009,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","1999","1999","PKM","Passenger-kilometres","6","Millions",,,78973,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2000","2000","PKM","Passenger-kilometres","6","Millions",,,80499,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2001","2001","PKM","Passenger-kilometres","6","Millions",,,81109,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2002","2002","PKM","Passenger-kilometres","6","Millions",,,82003,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2003","2003","PKM","Passenger-kilometres","6","Millions",,,82774,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2004","2004","PKM","Passenger-kilometres","6","Millions",,,83587,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2005","2005","PKM","Passenger-kilometres","6","Millions",,,83937,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2006","2006","PKM","Passenger-kilometres","6","Millions",,,84783,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2007","2007","PKM","Passenger-kilometres","6","Millions",,,85757,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2008","2008","PKM","Passenger-kilometres","6","Millions",,,87626.684209783,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2009","2009","PKM","Passenger-kilometres","6","Millions",,,90239.259008148,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2010","2010","PKM","Passenger-kilometres","6","Millions",,,92419.387321189,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2011","2011","PKM","Passenger-kilometres","6","Millions",,,93400.149412342,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2012","2012","PKM","Passenger-kilometres","6","Millions",,,94987.570779686,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2013","2013","PKM","Passenger-kilometres","6","Millions",,,96362.440481672,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2014","2014","PKM","Passenger-kilometres","6","Millions",,,97720.369848966,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2015","2015","PKM","Passenger-kilometres","6","Millions",,,99158.08360765,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2016","2016","PKM","Passenger-kilometres","6","Millions",,,101275.7072384,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2017","2017","PKM","Passenger-kilometres","6","Millions",,,103104.041618,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2018","2018","PKM","Passenger-kilometres","6","Millions",,,104331.24281709,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2019","2019","PKM","Passenger-kilometres","6","Millions",,,105566.43633,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2020","2020","PKM","Passenger-kilometres","6","Millions",,,86344.5984735,,
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2000","2000","PKM","Passenger-kilometres","6","Millions",,,6519,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2001","2001","PKM","Passenger-kilometres","6","Millions",,,6337,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2002","2002","PKM","Passenger-kilometres","6","Millions",,,6591,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2003","2003","PKM","Passenger-kilometres","6","Millions",,,6784,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2004","2004","PKM","Passenger-kilometres","6","Millions",,,6022,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2005","2005","PKM","Passenger-kilometres","6","Millions",,,5722,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2006","2006","PKM","Passenger-kilometres","6","Millions",,,5387,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2007","2007","PKM","Passenger-kilometres","6","Millions",,,5518,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2008","2008","PKM","Passenger-kilometres","6","Millions",,,6000,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2009","2009","PKM","Passenger-kilometres","6","Millions",,,6009,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2010","2010","PKM","Passenger-kilometres","6","Millions",,,6667,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2011","2011","PKM","Passenger-kilometres","6","Millions",,,7530,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2012","2012","PKM","Passenger-kilometres","6","Millions",,,7110,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2013","2013","PKM","Passenger-kilometres","6","Millions",,,7944,"E","Estimated value"
"MKD","North Macedonia","T-PASS-RD-TOT","Road passenger transport","2014","2014","PKM","Passenger-kilometres","6","Millions",,,9243,"E","Estimated value"
