"LOCATION","Country","STATISTICS","Reference Statistics","UNIT_MEASURE","Unit of measurement","TIME","Year","Value","Flag Codes","Flags"
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1995","1995",528928,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1996","1996",556628,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1997","1997",589220,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1998","1998",621388,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1999","1999",662160,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2000","2000",706896,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2001","2001",756034,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2002","2002",802694,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2003","2003",863620,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2004","2004",924926,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2005","2005",998904,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2006","2006",1088284,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2007","2007",1179153,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2008","2008",1261261,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2009","2009",1304017,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2010","2010",1418403,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2011","2011",1500176,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2012","2012",1536498,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2013","2013",1598597,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2014","2014",1623305,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2015","2015",1657538,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2016","2016",1758828,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2017","2017",1842635,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2018","2018",1946613,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2019","2019",1979471,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2020","2020",2080419,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2021","2021",2309051,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1995","1995",182031,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1996","1996",186928,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1997","1997",189302,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1998","1998",223111,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1999","1999",234151,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2000","2000",257842,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2001","2001",272211,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2002","2002",281624,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2003","2003",303852,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2004","2004",325344,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2005","2005",348169,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2006","2006",377546,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2007","2007",408267,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2008","2008",466269,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2009","2009",499529,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2010","2010",523393,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2011","2011",558196,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2012","2012",558425,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2013","2013",585291,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2014","2014",597036,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2015","2015",621980,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2016","2016",647632,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2017","2017",681663,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2018","2018",716991,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2019","2019",827901,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2020","2020",920084,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2021","2021",917333,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1995","1995",176608.75,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1996","1996",182540.88,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1997","1997",188723.77,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1998","1998",196346.61,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1999","1999",203850.58,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2000","2000",213606.48,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2001","2001",220525.08,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2002","2002",226735.22,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2003","2003",231862.45,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2004","2004",242348.27,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2005","2005",254075.03,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2006","2006",267824.44,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2007","2007",283977.97,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2008","2008",293761.91,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2009","2009",288044.03,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2010","2010",295896.63,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2011","2011",310128.66,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2012","2012",318653.03,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2013","2013",323910.19,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2014","2014",333146.06,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2015","2015",344269.22,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2016","2016",357607.94,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2017","2017",369361.88,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2018","2018",385274.09,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2019","2019",397169.53,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2020","2020",381042.47,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2021","2021",406148.66,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1995","1995",98558.406,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1996","1996",101537.26,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1997","1997",98649.891,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1998","1998",102540.53,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1999","1999",106127.7,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2000","2000",109009.77,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2001","2001",113252.22,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2002","2002",115758.09,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2003","2003",118878.19,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2004","2004",130153.41,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2005","2005",129973.41,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2006","2006",134929.78,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2007","2007",139842.45,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2008","2008",146510.77,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2009","2009",155960.84,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2010","2010",156351.16,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2011","2011",157845.92,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2012","2012",163191.88,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2013","2013",167292.06,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2014","2014",174671.56,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2015","2015",176029.97,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2016","2016",179059.03,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2017","2017",182091.28,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2018","2018",187850.56,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2019","2019",193136.61,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2020","2020",216207.48,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2021","2021",227261.64,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1995","1995",210489.09,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1996","1996",214287.09,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1997","1997",224101.5,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1998","1998",232623.8,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1999","1999",242307.59,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2000","2000",256376.41,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2001","2001",264334.91,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2002","2002",273255.91,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2003","2003",281200.19,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2004","2004",296819.69,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2005","2005",310037.59,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2006","2006",325151.5,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2007","2007",343618.91,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2008","2008",351743.09,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2009","2009",346472.81,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2010","2010",363140.09,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2011","2011",375967.81,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2012","2012",386174.69,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2013","2013",392880,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2014","2014",403003.31,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2015","2015",416701.41,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2016","2016",430085.31,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2017","2017",445050.09,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2018","2018",460050.81,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2019","2019",478645,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2020","2020",459826.31,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2021","2021",502311.59,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1995","1995",110811.6,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1996","1996",113683.9,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1997","1997",115640.2,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1998","1998",118543.5,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1999","1999",122357.4,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2000","2000",126645.6,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2001","2001",130526.9,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2002","2002",136364.41,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2003","2003",143545.3,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2004","2004",146388.2,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2005","2005",160791.59,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2006","2006",158639.41,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2007","2007",166871.41,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2008","2008",178598.7,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2009","2009",189453.91,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2010","2010",195653.59,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2011","2011",207926.91,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2012","2012",218102.09,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2013","2013",220469.59,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2014","2014",224069.41,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2015","2015",223850.7,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2016","2016",228451.2,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2017","2017",231560.7,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2018","2018",240446,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2019","2019",248201.91,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2020","2020",270844.69,,
"BEL","Belgium","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2021","2021",278744.41,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1995","1995",831621,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1996","1996",859834,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1997","1997",906926,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1998","1998",940548,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1999","1999",1007927,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2000","2000",1106071,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2001","2001",1144543,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2002","2002",1193694,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2003","2003",1254747,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2004","2004",1335731,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2005","2005",1421590,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2006","2006",1496604,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2007","2007",1577661,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2008","2008",1657041,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2009","2009",1571334,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2010","2010",1666048,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2011","2011",1774063,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2012","2012",1827201,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2013","2013",1902247,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2014","2014",1994898,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2015","2015",1990441,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2016","2016",2025535,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2017","2017",2140641,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2018","2018",2235675,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2019","2019",2313563,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2020","2020",2209681,,
"CAN","Canada","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2021","2021",2509618,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1995","1995",402347,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1996","1996",399980,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1997","1997",399898,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1998","1998",414399,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1999","1999",427988,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2000","2000",456078,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2001","2001",478725,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2002","2002",491567,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2003","2003",515267,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2004","2004",533629,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2005","2005",559532,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2006","2006",590726,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2007","2007",620705,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2008","2008",655948,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2009","2009",695851,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2010","2010",731454,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2011","2011",751910,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2012","2012",762378,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2013","2013",775580,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2014","2014",781161,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2015","2015",812749,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2016","2016",841899,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2017","2017",883281,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2018","2018",926929,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2019","2019",957920,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2020","2020",1184894,,
"CAN","Canada","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2021","2021",1171358,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1995","1995",1596306,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1996","1996",1829255,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1997","1997",1971024,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1998","1998",2156624,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1999","1999",2252983,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2000","2000",2386289,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2001","2001",2579126,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2002","2002",2690982,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2003","2003",2823452,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2004","2004",3079207,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2005","2005",3285601,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2006","2006",3530881,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2007","2007",3859533,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2008","2008",4042860,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2009","2009",3954320,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2010","2010",3992870,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2011","2011",4062323,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2012","2012",4088912,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2013","2013",4142811,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2014","2014",4345766,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2015","2015",4625378,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2016","2016",4796873,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2017","2017",5110743,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2018","2018",5410761,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2019","2019",5791498,,
"CZE","Czech Republic","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2020","2020",5709131,,
