"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"KOR","Korea","I-INV-RD","Road infrastructure investment","NAT","National currency","2008","2008","KRW","Won","0","Units",,,17575203565110,"B","Break"
"KOR","Korea","I-INV-RD","Road infrastructure investment","NAT","National currency","2009","2009","KRW","Won","0","Units",,,21622803008840,,
"KOR","Korea","I-INV-RD","Road infrastructure investment","NAT","National currency","2010","2010","KRW","Won","0","Units",,,16522920101210,,
"KOR","Korea","I-INV-RD","Road infrastructure investment","NAT","National currency","2011","2011","KRW","Won","0","Units",,,14245236003100,,
"KOR","Korea","I-INV-RD","Road infrastructure investment","NAT","National currency","2012","2012","KRW","Won","0","Units",,,15609284605570,,
"KOR","Korea","I-INV-RD","Road infrastructure investment","NAT","National currency","2013","2013","KRW","Won","0","Units",,,16477615000000,,
"KOR","Korea","I-INV-RD","Road infrastructure investment","NAT","National currency","2014","2014","KRW","Won","0","Units",,,15234405000000,,
"KOR","Korea","I-INV-RD","Road infrastructure investment","NAT","National currency","2015","2015","KRW","Won","0","Units",,,16531274000000,,
"KOR","Korea","I-INV-RD","Road infrastructure investment","NAT","National currency","2016","2016","KRW","Won","0","Units",,,16136934000000,,
"KOR","Korea","I-INV-RD","Road infrastructure investment","NAT","National currency","2017","2017","KRW","Won","0","Units",,,16603065000000,,
"KOR","Korea","I-INV-RD","Road infrastructure investment","NAT","National currency","2018","2018","KRW","Won","0","Units",,,15741578000000,,
"KOR","Korea","I-INV-RD","Road infrastructure investment","NAT","National currency","2019","2019","KRW","Won","0","Units",,,17226275000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","1995","1995","EUR","Euro","0","Units",,,3000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","1996","1996","EUR","Euro","0","Units",,,4000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","1997","1997","EUR","Euro","0","Units",,,1000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","1998","1998","EUR","Euro","0","Units",,,1000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","1999","1999","EUR","Euro","0","Units",,,5000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2000","2000","EUR","Euro","0","Units",,,8000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2001","2001","EUR","Euro","0","Units",,,10000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2002","2002","EUR","Euro","0","Units",,,8000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2003","2003","EUR","Euro","0","Units",,,46000000,"B","Break"
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2004","2004","EUR","Euro","0","Units",,,55000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2005","2005","EUR","Euro","0","Units",,,139000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2006","2006","EUR","Euro","0","Units",,,158000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2007","2007","EUR","Euro","0","Units",,,231000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2008","2008","EUR","Euro","0","Units",,,272000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2009","2009","EUR","Euro","0","Units",,,132000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2010","2010","EUR","Euro","0","Units",,,131000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2011","2011","EUR","Euro","0","Units",,,222000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2012","2012","EUR","Euro","0","Units",,,190000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2013","2013","EUR","Euro","0","Units",,,199000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2014","2014","EUR","Euro","0","Units",,,188000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2015","2015","EUR","Euro","0","Units",,,203000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2016","2016","EUR","Euro","0","Units",,,190000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2017","2017","EUR","Euro","0","Units",,,226000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2018","2018","EUR","Euro","0","Units",,,221400000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2019","2019","EUR","Euro","0","Units",,,223000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2020","2020","EUR","Euro","0","Units",,,198000000,,
"LVA","Latvia","I-INV-RD","Road infrastructure investment","NAT","National currency","2021","2021","EUR","Euro","0","Units",,,201000000,,
"LIE","Liechtenstein","I-INV-RD","Road infrastructure investment","NAT","National currency","1995","1995","CHF","Swiss Franc","0","Units",,,22000000,,
"LIE","Liechtenstein","I-INV-RD","Road infrastructure investment","NAT","National currency","1996","1996","CHF","Swiss Franc","0","Units",,,43000000,,
"LIE","Liechtenstein","I-INV-RD","Road infrastructure investment","NAT","National currency","1997","1997","CHF","Swiss Franc","0","Units",,,43000000,,
"LIE","Liechtenstein","I-INV-RD","Road infrastructure investment","NAT","National currency","1998","1998","CHF","Swiss Franc","0","Units",,,43000000,,
"LIE","Liechtenstein","I-INV-RD","Road infrastructure investment","NAT","National currency","1999","1999","CHF","Swiss Franc","0","Units",,,37000000,,
"LIE","Liechtenstein","I-INV-RD","Road infrastructure investment","NAT","National currency","2000","2000","CHF","Swiss Franc","0","Units",,,37000000,,
"LIE","Liechtenstein","I-INV-RD","Road infrastructure investment","NAT","National currency","2001","2001","CHF","Swiss Franc","0","Units",,,46000000,,
"LIE","Liechtenstein","I-INV-RD","Road infrastructure investment","NAT","National currency","2002","2002","CHF","Swiss Franc","0","Units",,,45000000,,
"LIE","Liechtenstein","I-INV-RD","Road infrastructure investment","NAT","National currency","2003","2003","CHF","Swiss Franc","0","Units",,,38000000,,
"LIE","Liechtenstein","I-INV-RD","Road infrastructure investment","NAT","National currency","2004","2004","CHF","Swiss Franc","0","Units",,,40000000,,
"LIE","Liechtenstein","I-INV-RD","Road infrastructure investment","NAT","National currency","2005","2005","CHF","Swiss Franc","0","Units",,,42000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","1995","1995","EUR","Euro","0","Units",,,15000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","1996","1996","EUR","Euro","0","Units",,,24000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","1997","1997","EUR","Euro","0","Units",,,40000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","1998","1998","EUR","Euro","0","Units",,,96000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","1999","1999","EUR","Euro","0","Units",,,130000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2000","2000","EUR","Euro","0","Units",,,109000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2001","2001","EUR","Euro","0","Units",,,70000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2002","2002","EUR","Euro","0","Units",,,112000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2003","2003","EUR","Euro","0","Units",,,142000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2004","2004","EUR","Euro","0","Units",,,137000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2005","2005","EUR","Euro","0","Units",,,165000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2006","2006","EUR","Euro","0","Units",,,242000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2007","2007","EUR","Euro","0","Units",,,312000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2008","2008","EUR","Euro","0","Units",,,437000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2009","2009","EUR","Euro","0","Units",,,448000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2010","2010","EUR","Euro","0","Units",,,422000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2011","2011","EUR","Euro","0","Units",,,343000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2012","2012","EUR","Euro","0","Units",,,243000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2013","2013","EUR","Euro","0","Units",,,253000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2014","2014","EUR","Euro","0","Units",,,224000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2015","2015","EUR","Euro","0","Units",,,258000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2016","2016","EUR","Euro","0","Units",,,357000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2017","2017","EUR","Euro","0","Units",,,345000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2018","2018","EUR","Euro","0","Units",,,325000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2019","2019","EUR","Euro","0","Units",,,352000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2020","2020","EUR","Euro","0","Units",,,466000000,,
"LTU","Lithuania","I-INV-RD","Road infrastructure investment","NAT","National currency","2021","2021","EUR","Euro","0","Units",,,434000000,,
