Dataset: Transport infrastructure investment and maintenance spending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,Road infrastructure investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure,,Euro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
Estonia,Euro,,"22,000,000",,"22,000,000",,"47,000,000",,"48,000,000",,"56,000,000",,"102,000,000",,"130,000,000",,"126,000,000",,"142,000,000",,"119,000,000",,"137,000,000",,"158,000,000",(B),"198,400,000",,"214,530,000",,"147,660,000",,"185,050,000",,"148,600,000",,"197,000,000",,"219,000,000",,"220,000,000",,"244,000,000",,"281,000,000"
Finland,Euro,,"488,000,000",,"508,000,000",,"520,000,000",,"533,000,000",,"599,000,000",,"595,000,000",,"650,000,000",,"802,000,000",,"973,000,000",,"922,000,000",,"890,000,000",,"973,000,000",,"1,128,000,000",,"1,148,000,000",,"1,238,000,000",,"1,243,000,000",,"1,178,000,000",,"1,235,000,000",,"1,526,000,000",,"1,522,000,000",,"1,444,000,000",,"1,375,000,000"
France,Euro,,"10,940,364,409",,"10,920,413,960",,"10,345,177,749",,"10,990,928,004",,"11,526,363,522",,"12,402,058,253",,"12,915,322,777",,"13,883,209,568",,"14,036,319,131",,"14,277,760,990",,"14,497,093,953",,"12,604,291,274",,"13,173,701,531",,"12,866,158,552",,"10,807,203,024",,"10,011,226,322",,"9,216,000,000",,"9,080,000,000",,"9,883,630,000",,"10,413,000,000",,"9,630,572,000",(P),"10,153,386,000"
Georgia,Euro,,"17,520,806",,"32,857,528",,"42,436,225",,"41,225,213",,"39,882,452",,"62,472,308",,"90,843,999",,"122,382,971",,"124,291,720",,"218,752,417",,"232,731,578",,"247,556,749",,"177,423,646",,"236,700,702",,"224,482,581",,"194,100,469",,"202,483,165",,"308,132,147",,"402,560,503",,"442,577,208",,..,,..
Germany,Euro,,"11,967,000,000",,"11,558,000,000",,"11,595,000,000",,"10,790,000,000",,"10,710,000,000",,"10,200,000,000",,"10,730,000,000",,"10,845,000,000",,"11,410,000,000",,"12,620,000,000",,"12,250,000,000",,"12,290,000,000",,"11,120,000,000",,"11,390,000,000",,"11,810,000,000",,"11,430,000,000",,"12,090,000,000",,"13,520,000,000",,"15,810,000,000",,"16,750,000,000",,"17,090,000,000",(P),"16,450,000,000"
Greece,Euro,,"1,402,000,000",,"1,604,000,000",,"1,692,000,000",,"1,636,000,000",,"1,507,000,000",,"1,080,000,000",,"1,392,000,000",,"1,516,000,000",,"1,760,000,000",,"1,791,000,000",,"1,155,277,008",,"1,132,486,646",,"994,576,030",,"2,036,552,991",,"1,543,220,320",,"1,348,729,715",,"2,187,037,728",,"3,894,932,795",,"2,158,003,344",,"740,871,729",,"780,984,404",,"730,716,966"
Hungary,Euro,,"176,594,406",,"236,922,317",,"283,669,489",,"242,685,340",,"1,426,659,915",,"1,703,158,279",,"583,691,897",,"645,917,032",,"977,883,708",,"1,565,229,294",,"840,161,144",,"298,023,701",,"152,652,284",,"400,571,427",,"1,238,414,974",,"1,247,677,055",,"802,745,136",,"1,280,382,187",,"1,780,313,937",,"2,288,587,059",,"1,820,222,428",,"1,894,279,008"
Iceland,Euro,,"129,296,513",,"109,188,715",,"123,186,943",,"171,021,197",,"142,935,326",,"151,346,681",,"210,440,490",,"186,583,209",,"244,091,489",,"120,924,592",,"79,345,111",(B),"38,715,663",,"37,911,482",,"41,829,738",,"45,289,832",,"67,402,003",,"74,669,206",,"91,030,934",,"99,867,496",,"91,695,768",,"107,252,606",,"104,314,548"
India,Euro,,..,,..,,..,,..,,"1,871,343,737",,"3,258,035,329",,"4,035,429,641",,"4,383,951,160",,"4,722,217,178",,"4,807,267,646",,"6,359,755,947",,"5,616,686,524",,"6,208,356,624",,"8,475,167,837",,"8,717,764,011",,"13,689,845,439",,"12,461,385,189",,..,,..,,..,,..,,..
Ireland,Euro,,"893,000,000",,"1,228,000,000",,"1,430,000,000",,"1,516,000,000",,"1,562,000,000",,"1,662,000,000",,"2,019,000,000",,"2,191,000,000",,"2,069,000,000",,"1,769,000,000",,"1,414,000,000",,"1,017,000,000",,"886,000,000",,"594,000,000",,"638,000,000",,"612,000,000",,"622,000,000",,"547,000,000",,"693,000,000",,"837,000,000",,..,,..
