,country,iso_alpha,year,pg_GDP,flag
165,Cyprus,CYP,2014,100.4,e
166,Latvia,LVA,2014,99,
167,Lithuania,LTU,2014,101.1,
168,Luxembourg,LUX,2014,98.8,e
169,Hungary,HUN,2014,101.3,
170,Malta,MLT,2014,104.6,e
171,Netherlands,NLD,2014,106.8,e
172,Austria,AUT,2014,99,
173,Poland,POL,2014,102.4,
174,Portugal,PRT,2014,99.3,e
175,Romania,ROU,2014,97.1,e
176,Slovenia,SVN,2014,100.5,e
177,Slovakia,SVK,2014,101.8,e
178,Finland,FIN,2014,99.2,
179,Sweden,SWE,2014,102.7,e
180,Iceland,ISL,2014,97.8,e
181,Liechtenstein,LIE,2014,0,
182,Norway,NOR,2014,99.5,
183,Switzerland,CHE,2014,100.7,e
184,United Kingdom,GBR,2014,102,
185,Montenegro,MNE,2014,101.8,e
186,North Macedonia,MKD,2014,102.6,
187,Albania,ALB,2014,0,
188,Serbia,SRB,2014,98.4,e
189,Turkey,TUR,2014,100.7,
190,EU,,2015,100,
191,Belgium,BEL,2015,100,
192,Bulgaria,BGR,2015,100,
193,Czech Republic,CZE,2015,100,
194,Denmark,DNK,2015,100,
195,Germany,DEU,2015,100,
196,Estonia,EST,2015,100,
197,Ireland,IRL,2015,100,
198,Greece,GRC,2015,100,
199,Spain,ESP,2015,100,
200,France,FRA,2015,100,
201,Croatia,HRV,2015,100,
202,Italy,ITA,2015,100,
203,Cyprus,CYP,2015,100,
204,Latvia,LVA,2015,100,
205,Lithuania,LTU,2015,100,
206,Luxembourg,LUX,2015,100,
207,Hungary,HUN,2015,100,
208,Malta,MLT,2015,100,
209,Netherlands,NLD,2015,100,
210,Austria,AUT,2015,100,
211,Poland,POL,2015,100,
212,Portugal,PRT,2015,100,
213,Romania,ROU,2015,100,
214,Slovenia,SVN,2015,100,
215,Slovakia,SVK,2015,100,
216,Finland,FIN,2015,100,
217,Sweden,SWE,2015,100,
218,Iceland,ISL,2015,100,
219,Liechtenstein,LIE,2015,0,
220,Norway,NOR,2015,100,
221,Switzerland,CHE,2015,100,
222,United Kingdom,GBR,2015,100,
223,Montenegro,MNE,2015,100,
224,North Macedonia,MKD,2015,100,
225,Albania,ALB,2015,0,
226,Serbia,SRB,2015,100,
227,Turkey,TUR,2015,100,
228,EU,,2016,100,be
229,Belgium,BEL,2016,97.4,e
230,Bulgaria,BGR,2016,95.9,e
231,Czech Republic,CZE,2016,100.7,
232,Denmark,DNK,2016,99.8,e
233,Germany,DEU,2016,100,
234,Estonia,EST,2016,104.2,e
235,Ireland,IRL,2016,103.8,e
