Year,Country,Location,Injuries,Population,Passenger_kilometres,Injuries_passenger_kilometres,Percentage_inj_pop,Percentage_inj_pk_pop
1995,Slovenia,SVN,8391.0,10136814.0,267525.0,31.365292963274463,0.08277748807465542,0.0003094196358271392
1995,Portugal,PRT,65853.0,29302311.0,,,0.22473654040461177,
1995,Finland,FIN,10632.0,10330759.0,157083.0,67.68396325509444,0.10291596193464585,0.0006551693177151305
1995,United States,USA,3507000.0,5227861.0,4458.0,786675.6393001345,67.08288533302627,15.04775355159853
1995,Japan,JPN,933361.0,5107787.0,81109.0,11507.489920970545,18.273295264661584,0.2252930656852086
1995,Canada,CAN,241771.0,59383991.0,770918.0,313.61441813526216,0.4071316122892447,0.0005281127335063455
1995,Sweden,SWE,21745.0,10328967.0,187737.0,115.8269280962197,0.21052444063380202,0.0011213795929081746
1995,Norway,NOR,12061.0,267467.0,813276.0,14.830143764232561,4.50934133930541,0.0055446629917831215
1995,Hungary,HUN,27475.0,56844301.0,697936.19970162,39.36606241622951,0.048333781076840054,6.92524346745499e-05
1995,Iceland,ISL,1655.0,125570246.0,,,0.0013179873837310153,
1995,Netherlands,NLD,13022.0,45092991.0,32309.0,403.0455910117924,0.028878102142304112,0.0008938098406730049
1995,Switzerland,CHE,29451.0,15459004.0,114464.0,257.2948700027957,0.1905103330072235,0.0016643689981760512
1995,Denmark,DNK,10573.0,3673400.0,,,0.28782599226874284,
1995,Croatia,HRV,18465.0,4359187.0,74078.0,249.2642889926834,0.42358815990229365,0.005718137097414802
1995,Poland,POL,84026.0,38274500.0,95009.0,884.4004252228737,0.2195351996760245,0.0023106779323645603
1995,United Kingdom,GBR,322412.0,10026176.0,2413000.0,133.61458765022795,3.2157025769346164,0.001332657512198349
1995,France,FRA,189815.0,5363676.0,168211.0,1128.4339311935605,3.5388975769602786,0.02103844324663832
1995,Korea,KOR,342070.0,8826944.0,121470.0,2816.0862764468593,3.8752936463627727,0.03190329831532702
1995,Italy,ITA,273637.0,7040687.0,64506.0,4242.039500201532,3.8865099385897994,0.060250363355188664
1995,New Zealand,NZL,17538.0,59756000.0,481000.0,36.46153846153846,0.0293493540397617,6.101736806603264e-05
1995,Czech Republic,CZE,38555.0,58024799.0,24194.0,1593.5769198974951,0.06644572779993602,0.00274637215011722
1995,India,,,266278393.0,64700.0,,,
1995,Türkiye,TUR,120323.0,4807101.0,954293.0,126.08601341516703,2.503026252204811,0.002622911676188352
1995,Lithuania,LTU,5180.0,964279130.0,4355728.0,1.189238630144031,0.0005371888531902583,1.2332929264413624e-07
1995,Belgium,BEL,73568.0,3629102.0,63386.0,1160.634840501057,2.02716815344402,0.03198132321717761
1995,Slovak Republic,SVK,12233.0,1987505.0,56463.0,216.6551547030799,0.6154953069300455,0.010900860863398074
1996,Slovenia,SVN,8187.0,10156641.0,244955.0,33.422465350778715,0.08060735827917911,0.000329070067070193
1996,Portugal,PRT,68727.0,29610218.0,,,0.2321056873002421,
1996,Finland,FIN,9703.0,10315353.0,159627.0,60.78545609452035,0.09406367382677064,0.000589271701070437
1996,United States,USA,3525000.0,5261503.0,4583.0,769146.8470434214,66.99606557289809,14.6183865531089
1996,Japan,JPN,952147.0,5124573.0,82003.0,11611.123983268906,18.58002608217309,0.22657739451206774
1996,Canada,CAN,230412.0,59589289.0,777226.0,296.45431315987884,0.386666805170305,0.0004974959730764347
1996,Sweden,SWE,21347.0,10311235.0,187875.0,113.62341982701264,0.20702660738505135,0.00110193802999362
1996,Norway,NOR,12280.0,268918.0,808678.0,15.18527770014765,4.566447764746131,0.005646805978085383
1996,Hungary,HUN,25309.0,56860279.0,719619.46918281,35.16997674999059,0.04451086143984626,6.185333130354599e-05
1996,Iceland,ISL,1568.0,125864000.0,,,0.001245789105701392,
1996,Netherlands,NLD,13217.0,45524681.0,33214.0,397.9346058890829,0.029032603215824838,0.0008741074009702186
1996,Switzerland,CHE,27155.0,15530500.0,116344.0,233.4026679502166,0.174849489713789,0.0015028664109347195
1996,Denmark,DNK,10324.0,3732000.0,18542.0,556.7899902923093,0.2766345123258307,0.014919345934949339
1996,Croatia,HRV,16903.0,4381339.0,74958.0,225.4996131166787,0.3857953013907392,0.005146819570836191
1996,Poland,POL,84137.0,38289000.0,95580.0,880.2783008997698,0.21974196244352165,0.002299037062602235
1996,United Kingdom,GBR,333153.0,10063944.5,2815000.0,118.34920071047958,3.3103620553551343,0.0011759723109609713
1996,France,FRA,178197.0,5373793.0,163327.0,1091.044346617522,3.316037666504832,0.020303058689039977
1996,Korea,KOR,368615.0,8840999.0,123960.0,2973.6608583414004,4.169381763305256,0.0336348964448633
1996,Italy,ITA,285491.0,7071851.0,64702.0,4412.3983802664525,4.0370053045518075,0.06239382560897356
1996,New Zealand,NZL,15352.0,60671000.0,493000.0,31.13995943204868,0.025303687099273126,5.132593732104083e-05
1996,Czech Republic,CZE,39311.0,58164374.0,24626.0,1596.3209615853161,0.06758604502474315,0.0027444995137149006
1996,India,,,269394284.0,66000.0,,,
1996,Türkiye,TUR,110027.0,4758633.0,955412.0,115.16183594093438,2.312155612756857,0.0024200613062813287
1996,Lithuania,LTU,5890.0,983281215.0,4450661.0,1.3233989288332677,0.0005990147996471182,1.3459007541736346e-07
1996,Belgium,BEL,68259.0,3601613.0,63473.0,1075.4021394923825,1.895234163137461,0.029858903205102337
1996,Slovak Republic,SVK,12264.0,1991169.0,57612.0,212.8723182670277,0.6159195929627269,0.010690821234512374
1997,Slovenia,SVN,9026.0,10181246.0,238861.0,37.787667304415535,0.08865319627872659,0.00037114973260066143
